name,house,party,constituency,constituency_ons,position,source_link,country,addressable_title
Christine Jardine,Commons,Liberal Democrat,Edinburgh West,S14000082,Liberal Democrat Spokesperson (Women and Equalities),https://members.parliament.uk/member/4634/contact,Scotland,Ms Christine Jardine MP
Liz Jarvis,Commons,Liberal Democrat,Eastleigh,E14001220,,https://members.parliament.uk/member/5040/contact,England,Ms Liz Jarvis MP
Clive Jones,Commons,Liberal Democrat,Wokingham,E14001593,Liberal Democrat Spokesperson (Trade),https://members.parliament.uk/member/5207/contact,England,Mr Clive Jones MP
Paul Kohler,Commons,Liberal Democrat,Wimbledon,E14001586,Liberal Democrat Spokesperson (Transport),https://members.parliament.uk/member/5321/contact,England,Mr Paul Kohler MP
James MacCleary,Commons,Liberal Democrat,Lewes,E14001330,Liberal Democrat Spokesperson (Europe),https://members.parliament.uk/member/5265/contact,England,Mr James MacCleary MP
Angus MacDonald,Commons,Liberal Democrat,"Inverness, Skye and West Ross-shire",S14000094,,https://members.parliament.uk/member/5362/contact,Scotland,Mr Angus MacDonald MP
Ben Maguire,Commons,Liberal Democrat,North Cornwall,E14001385,Liberal Democrat Shadow Attorney General,https://members.parliament.uk/member/5350/contact,England,Mr Ben Maguire MP
Helen Maguire,Commons,Liberal Democrat,Epsom and Ewell,E14001227,Liberal Democrat Spokesperson (Defence),https://members.parliament.uk/member/5336/contact,England,Ms Helen Maguire MP
Mike Martin,Commons,Liberal Democrat,Tunbridge Wells,E14001555,,https://members.parliament.uk/member/5219/contact,England,Mr Mike Martin MP
Brian Mathew,Commons,Liberal Democrat,Melksham and Devizes,E14001356,,https://members.parliament.uk/member/5214/contact,England,Mr Brian Mathew MP
Charlie Maynard,Commons,Liberal Democrat,Witney,E14001591,,https://members.parliament.uk/member/5325/contact,England,Mr Charlie Maynard MP
Freddie van Mierlo,Commons,Liberal Democrat,Henley and Thame,E14001280,,https://members.parliament.uk/member/5296/contact,England,Mr Freddie van Mierlo MP
Calum Miller,Commons,Liberal Democrat,Bicester and Woodstock,E14001090,Liberal Democrat Spokesperson (Foreign Affairs),https://members.parliament.uk/member/5346/contact,England,Mr Calum Miller MP
John Milne,Commons,Liberal Democrat,Horsham,E14001294,,https://members.parliament.uk/member/5329/contact,England,Mr John Milne MP
Layla Moran,Commons,Liberal Democrat,Oxford West and Abingdon,E14001420,,https://members.parliament.uk/member/4656/contact,England,Ms Layla Moran MP
Edward Morello,Commons,Liberal Democrat,West Dorset,E14001575,,https://members.parliament.uk/member/5326/contact,England,Mr Edward Morello MP
Helen Morgan,Commons,Liberal Democrat,North Shropshire,E14001398,Liberal Democrat Spokesperson (Health and Social Care),https://members.parliament.uk/member/4934/contact,England,Ms Helen Morgan MP
Tom Morrison,Commons,Liberal Democrat,Cheadle,E14001158,Liberal Democrat Deputy Chief Whip,https://members.parliament.uk/member/5090/contact,England,Mr Tom Morrison MP
Tessa Munt,Commons,Liberal Democrat,Wells and Mendip Hills,E14001572,,https://members.parliament.uk/member/4089/contact,England,Ms Tessa Munt MP
Susan Murray,Commons,Liberal Democrat,Mid Dunbartonshire,S14000097,,https://members.parliament.uk/member/5157/contact,Scotland,Ms Susan Murray MP
Sarah Olney,Commons,Liberal Democrat,Richmond Park,E14001445,Liberal Democrat Spokesperson (Cabinet Office),https://members.parliament.uk/member/4591/contact,England,Ms Sarah Olney MP
Manuela Perteghella,Commons,Liberal Democrat,Stratford-on-Avon,E14001526,,https://members.parliament.uk/member/5122/contact,England,Ms Manuela Perteghella MP
Al Pinkerton,Commons,Liberal Democrat,Surrey Heath,E14001532,Liberal Democrat Spokesperson (Northern Ireland),https://members.parliament.uk/member/5288/contact,England,Dr Al Pinkerton MP
Joshua Reynolds,Commons,Liberal Democrat,Maidenhead,E14001348,,https://members.parliament.uk/member/5343/contact,England,Mr Joshua Reynolds MP
Ian Roome,Commons,Liberal Democrat,North Devon,E14001387,,https://members.parliament.uk/member/5138/contact,England,Mr Ian Roome MP
Anna Sabine,Commons,Liberal Democrat,Frome and East Somerset,E14001241,,https://members.parliament.uk/member/5286/contact,England,Ms Anna Sabine MP
Roz Savage,Commons,Liberal Democrat,South Cotswolds,E14001482,,https://members.parliament.uk/member/5352/contact,England,Dr Roz Savage MP
Vikki Slade,Commons,Liberal Democrat,Mid Dorset and North Poole,E14001363,"Liberal Democrat Spokesperson (Housing, Communities and Local Government)",https://members.parliament.uk/member/5327/contact,England,Ms Vikki Slade MP
Lisa Smart,Commons,Liberal Democrat,Hazel Grove,E14001277,Liberal Democrat Spokesperson (Home Affairs),https://members.parliament.uk/member/5070/contact,England,Ms Lisa Smart MP
Ian Sollom,Commons,Liberal Democrat,St Neots and Mid Cambridgeshire,E14001512,Liberal Democrat Spokesperson (Universities and Skills),https://members.parliament.uk/member/5096/contact,England,Mr Ian Sollom MP
Jamie Stone,Commons,Liberal Democrat,"Caithness, Sutherland and Easter Ross",S14000069,,https://members.parliament.uk/member/4612/contact,Scotland,Mr Jamie Stone MP
Luke Taylor,Commons,Liberal Democrat,Sutton and Cheam,E14001534,Liberal Democrat Spokesperson (London),https://members.parliament.uk/member/5103/contact,England,Mr Luke Taylor MP
Cameron Thomas,Commons,Liberal Democrat,Tewkesbury,E14001542,,https://members.parliament.uk/member/5354/contact,England,Mr Cameron Thomas MP
Caroline Voaden,Commons,Liberal Democrat,South Devon,E14001484,,https://members.parliament.uk/member/5216/contact,England,Ms Caroline Voaden MP
Max Wilkinson,Commons,Liberal Democrat,Cheltenham,E14001161,"Liberal Democrat Spokesperson (Culture, Media and Sport)",https://members.parliament.uk/member/5055/contact,England,Mr Max Wilkinson MP
Munira Wilson,Commons,Liberal Democrat,Twickenham,E14001556,"Liberal Democrat Spokesperson (Education, Children and Families)",https://members.parliament.uk/member/4776/contact,England,Ms Munira Wilson MP
Martin Wrigley,Commons,Liberal Democrat,Newton Abbot,E14001381,,https://members.parliament.uk/member/5111/contact,England,Mr Martin Wrigley MP
Claire Young,Commons,Liberal Democrat,Thornbury and Yate,E14001545,,https://members.parliament.uk/member/5140/contact,England,Ms Claire Young MP
Ann Davies,Commons,Plaid Cymru,Caerfyrddin,W07000087,,https://members.parliament.uk/member/5177/contact,Wales,Ms Ann Davies MP
Ben Lake,Commons,Plaid Cymru,Ceredigion Preseli,W07000093,,https://members.parliament.uk/member/4630/contact,Wales,Mr Ben Lake MP
Llinos Medi,Commons,Plaid Cymru,Ynys Môn,W07000112,,https://members.parliament.uk/member/5085/contact,Wales,Ms Llinos Medi MP
Liz Saville Roberts,Commons,Plaid Cymru,Dwyfor Meirionnydd,W07000096,,https://members.parliament.uk/member/4521/contact,Wales,The Rt Hon Liz Saville Roberts MP
Lee Anderson,Commons,Reform UK,Ashfield,E14001068,,https://members.parliament.uk/member/4743/contact,England,Mr Lee Anderson MP
Nigel Farage,Commons,Reform UK,Clacton,E14001174,,https://members.parliament.uk/member/5091/contact,England,Mr Nigel Farage MP
James McMurdock,Commons,Reform UK,South Basildon and East Thurrock,E14001480,,https://members.parliament.uk/member/5361/contact,England,Mr James McMurdock MP
Sarah Pochin,Commons,Reform UK,Runcorn and Helsby,E14001455,,https://members.parliament.uk/member/5403/contact,England,Ms Sarah Pochin MP
Richard Tice,Commons,Reform UK,Boston and Skegness,E14001114,,https://members.parliament.uk/member/5161/contact,England,Mr Richard Tice MP
Kirsty Blackman,Commons,Scottish National Party,Aberdeen North,S14000060,SNP Chief Whip,https://members.parliament.uk/member/4357/contact,Scotland,Ms Kirsty Blackman MP
Dave Doogan,Commons,Scottish National Party,Angus and Perthshire Glens,S14000065,,https://members.parliament.uk/member/4736/contact,Scotland,Mr Dave Doogan MP
Stephen Flynn,Commons,Scottish National Party,Aberdeen South,S14000061,SNP Westminster Leader,https://members.parliament.uk/member/4735/contact,Scotland,The Rt Hon Stephen Flynn MP
Stephen Gethins,Commons,Scottish National Party,Arbroath and Broughty Ferry,S14000066,,https://members.parliament.uk/member/4434/contact,Scotland,Mr Stephen Gethins MP
Chris Law,Commons,Scottish National Party,Dundee Central,S14000075,,https://members.parliament.uk/member/4403/contact,Scotland,Mr Chris Law MP
Graham Leadbitter,Commons,Scottish National Party,"Moray West, Nairn and Strathspey",S14000098,,https://members.parliament.uk/member/5277/contact,Scotland,Mr Graham Leadbitter MP
Seamus Logan,Commons,Scottish National Party,Aberdeenshire North and Moray East,S14000062,,https://members.parliament.uk/member/5280/contact,Scotland,Mr Seamus Logan MP
Brendan O'Hara,Commons,Scottish National Party,"Argyll, Bute and South Lochaber",S14000067,,https://members.parliament.uk/member/4371/contact,Scotland,Mr Brendan O'Hara MP
Pete Wishart,Commons,Scottish National Party,Perth and Kinross-shire,S14000103,SNP Deputy Westminster Leader,https://members.parliament.uk/member/1440/contact,Scotland,Mr Pete Wishart MP
Órfhlaith Begley,Commons,Sinn Féin,West Tyrone,N05000018,,https://members.parliament.uk/member/4697/contact,Northern Ireland,Ms Órfhlaith Begley MP
Pat Cullen,Commons,Sinn Féin,Fermanagh and South Tyrone,N05000007,,https://members.parliament.uk/member/5261/contact,Northern Ireland,Ms Pat Cullen MP
John Finucane,Commons,Sinn Féin,Belfast North,N05000002,,https://members.parliament.uk/member/4823/contact,Northern Ireland,Mr John Finucane MP
Chris Hazzard,Commons,Sinn Féin,South Down,N05000015,,https://members.parliament.uk/member/4636/contact,Northern Ireland,Mr Chris Hazzard MP
Dáire Hughes,Commons,Sinn Féin,Newry and Armagh,N05000011,,https://members.parliament.uk/member/5292/contact,Northern Ireland,Mr Dáire Hughes MP
Cathal Mallaghan,Commons,Sinn Féin,Mid Ulster,N05000010,,https://members.parliament.uk/member/5153/contact,Northern Ireland,Mr Cathal Mallaghan MP
Paul Maskey,Commons,Sinn Féin,Belfast West,N05000004,,https://members.parliament.uk/member/4245/contact,Northern Ireland,Mr Paul Maskey MP
Colum Eastwood,Commons,Social Democratic & Labour Party,Foyle,N05000008,,https://members.parliament.uk/member/4846/contact,Northern Ireland,Mr Colum Eastwood MP
Claire Hanna,Commons,Social Democratic & Labour Party,Belfast South and Mid Down,N05000003,,https://members.parliament.uk/member/4827/contact,Northern Ireland,Ms Claire Hanna MP
Lindsay Hoyle,Commons,Speaker,Chorley,E14001170,,https://members.parliament.uk/member/467/contact,England,The Rt Hon Sir Lindsay Hoyle MP
Jim Allister,Commons,Traditional Unionist Voice,North Antrim,N05000012,,https://members.parliament.uk/member/5356/contact,Northern Ireland,Mr Jim Allister KC MP
Robin Swann,Commons,Ulster Unionist Party,South Antrim,N05000014,,https://members.parliament.uk/member/5319/contact,Northern Ireland,Mr Robin Swann MP
